Service_name,Service_url,Main_Services,Other_Services,Serving,Phone_Number,Website,Location_Address,Location_URL_Map,Eligibility,Availability,Description,Languages,Cost,Google_Review,Facebook_URL,Twitter_URL,Coverage,Latitude,Longitude,Zipcode,24hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Google_Rating,Service_type
Hospice and Palliative care (Maplewood Nursing & Rehabilitation Center),https://www.auntbertha.com//maplewood-nursing-%2526-rehabilitation-center--philadelphia-pa--hospice-and-palliative-care/5217369276022784?postal=19131,"['end-of-life care', 'bereavement', 'hospice']",,"['all ages', 'post-treatment', 'facing end of life', 'terminal illness', 'benefit recipients']",215-844-8806,https://maplewoodhealthpa.com/services-amenities/,"125 West School House Lane, Philadelphia, PA 19144","https://www.google.com/maps/?q=125+West+School+House+Lane,+Philadelphia,+PA+19144/",['Must have Medicare or Medicaid.'],available,"Maplewood Nursing & Rehabilitation Center’s hospice care is designed to support patients and their loved ones during the final phase of terminal illness. Our services focus on  comfort and quality of life, enabling patients to live each day as alert,  pain-free, and fully as possible.Services include:- End-of-life CareMaplewood Nursing & Rehabilitation Center accepts Medicare & Medicaid.",['English'],Reduced Cost,TRUE,,,"This program covers residents of the following counties: Philadelphia County, PA.",40.0326252,-75.1754687,19144,FALSE,8:00AM - 5:00PM ,8:00AM - 5:00PM ,8:00AM - 5:00PM ,8:00AM - 5:00PM ,8:00AM - 5:00PM ,Closed,Closed,4.1/5,Mental Health
"Women, Pregnant Women and Women with Children's Services (Gaudenzia)",https://www.auntbertha.com//gaudenzia--philadelphia-pa--women%252C-pregnant-women-and-women-with-children%2527s-services/4895435468308480?postal=19131,"['substance abuse counseling', 'mental health care', 'outpatient treatment', 'residential treatment', 'understand mental health']",,"['adults 18+', 'female', 'with children', 'homeless', 'mothers', 'all mental health', 'substance dependency']",833-976-4357,https://www.gaudenzia.org/the-treatment-and-recovery-hotline-is-here-833-976-help-4357/#0,"1300 East Tulpehocken Street, Philadelphia, PA 19138","https://www.google.com/maps/?q=1300+East+Tulpehocken+Street,+Philadelphia,+PA+19138/","['This program is for women, pregnant women and women with children.']",available,"Women, Pregnant Women and Women with Children's Services are provided by Gaudenzia.  These treatment and prevention services services are offered to help build a foundation for sustainable recovery so they may function effectively at home, at work and in the community.This program provides:- Inpatient- Outpatient- Specialized treatmentGaudenzia services are available to everyone, regardless of insurance. They also accept Medicaid and Medicare.",['English'],Free,TRUE,https://www.facebook.com/gaudenziaorg/,https://www.twitter.com/@Gaudenzia,"This program covers residents of the following states: DE, MD and PA.",40.0563961,-75.1641601,19138,FALSE,8:00AM - 5:00PM ,8:00AM - 5:00PM ,8:00AM - 5:00PM ,8:00AM - 5:00PM ,8:00AM - 5:00PM ,Closed,Closed,3.5/5,Mental Health
Social Work Services (Einstein Healthcare Network),https://www.auntbertha.com//einstein-healthcare-network--philadelphia-pa--social-work-services/4576970724343808?postal=19131,"['prevent & treat', 'counseling', 'sexual and reproductive health', 'std/sti treatment & prevention', 'navigating the system', 'case management']",,"['all ages', 'infectious disease', 'hiv/aids']",215-456-3465,https://www.jeffersonhealth.org/einstein?id=1625&sid=1,"1300 West Tabor Road, Philadelphia, PA 19141","https://www.google.com/maps/?q=1300+West+Tabor+Road,+Philadelphia,+PA+19141/",[],available,Einstein Healthcare Network provides a team of social workers to assist patients with a range of psycho-social needs. Services:- SPBP enrollment for medication and/or labs coverage- Insurance navigation- Supportive counseling- Education about HIV and AIDS- Referrals to community resources- Liaising with medical providers and case managers- Assistance accessing medications- Appointment outreach- Linkage to mental health services,['English'],Free,TRUE,https://www.facebook.com/EinsteinHealth/,,"This program covers residents of the following counties: Philadelphia County, PA.",40.038049,-75.143806,19141,FALSE,9:00AM - 4:00PM ,9:00AM - 4:00PM ,9:00AM - 4:00PM ,9:00AM - 4:00PM ,9:00AM - 4:00PM ,Closed,Closed,2.3/5,Mental Health
CRISIS/MATES (Mobile Assessment Treatment and Evaluation Services) (WES Health System),https://www.auntbertha.com//wes-health-system--philadelphia-pa--crisis-mates-%2528mobile-assessment-treatment-and-evaluation-services%2529/5341377346142208?postal=19131,"['psychiatric emergency services', 'mental health care', 'navigating the system']",,"['adults', 'young adults', 'teens', 'seniors', 'chronic illness', 'in crisis', 'emergency', 'all mental health']",215-455-3900,http://drwes.org/individuals-families/crisismates/,"1315 Windrim Avenue, Philadelphia, PA 19141","https://www.google.com/maps/?q=1315+Windrim+Avenue,+Philadelphia,+PA+19141/",[],available,"CRISIS/MATES provide short–term home and community based intervention services to children and adults who are experiencing a behavioral health crisis. The crisis staff conducts an assessment in the community to determine the appropriate level of care. The teams are prepared to handle a variety of interventions including:- Crisis assessments- Involuntary/voluntary hospitalizations- Linkage with other mental health providers depending on medical coverage- Mobile mental health treatment services (for individuals who are temporarily homebound due to existing medical conditions or specialized mental health disorders)- Emergency psychiatric services for those who are eligibleAll services are confidential and handicap accessible transportation is available. Individuals can be referred to the program by family members, schools, public agencies and/or the Office of Mental Health.","['English', 'Spanish']",Free,TRUE,https://www.facebook.com/weshealthsystems,https://www.twitter.com/@WESHealthSystem,"This program covers residents of the following counties: Philadelphia County, PA.",40.0307555,-75.1449155,19141,FALSE,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM,Closed,Closed,3.0/5,Mental Health
The PCS Learning Pod and Parent Resource Center (The Philadelphia Community Stakeholders),https://www.auntbertha.com//the-philadelphia-community-stakeholders-%2528pcs%2529--philadelphia-pa--the-pcs-learning-pod-and-parent-resource-center/4775457140637696?postal=19131,"['parenting education', 'counseling', 'navigating the system', 'support network', 'virtual support', 'more education', 'tutoring']",,"['adults', 'young adults', 'children', 'covid19', 'students', 'families', 'with children', 'african american']",,https://pcslearningpods.com/aboutus.html,"1323 North 52nd Street, Philadelphia, PA 19131","https://www.google.com/maps/?q=1323+North+52nd+Street,+Philadelphia,+PA+19131/",['This program serves children K-5.'],available,"The PCS Learning Pod and Parent Resource Center provides a safe, nurturing, and supportive environment to Philadelphia children in grades K-5. The Resource Center also helps families in need of assistance with academic lessons, referrals for additional supports for students and access to mental and behavioral health services.This program provides: - Instructional support for virtual learning- Supplemental lessons and activities to close learning gaps by experienced instructors- Effective and engaging use of technology- Community resources & referrals- Mental and behavioral health counseling – by appointment Prior to acceptance, prospective families will complete a questionnaire regarding recent travel history, COVID-19 status, COVID-19 testing, and COVID-19 exposure of the prospective student and household members.",['English'],Free,TRUE,,,"This program covers residents of the following cities: Philadelphia, PA.",39.973813,-75.2258,19131,FALSE,7:30AM - 4:30PM,7:30AM - 4:30PM,7:30AM - 4:30PM,7:30AM - 4:30PM,7:30AM - 4:30PM,Closed,Closed,4.7/5,Mental Health
"Mental Health Services (Preventive Measures, Inc.)",https://www.auntbertha.com//preventive-measures%252C-inc.--philadelphia-pa--mental-health-services/5662013538435072?postal=19131,"['counseling', 'medication management', 'mental health care', 'family counseling', 'individual counseling', 'medications for mental health', 'mental health evaluation']",,"['all ages', 'benefit recipients', 'limited english', 'depression', 'anxiety', 'all mental health']",215-999-8210,https://www.preventivemeasuresinc.com/mental-health,"1335 West Tabor Road, Philadelphia, PA 19141","https://www.google.com/maps/?q=1335+West+Tabor+Road,+Philadelphia,+PA+19141/",['Must have Medicaid.'],available,"Preventative Measures offers mental health services to individuals, couples, families, and children.This program provides:- Individual Therapy- Couples Therapy- Family Therapy- Child Therapy- Psychiatric Evaluations- Medication ManagementPreventive Measures accepts Medicaid for its services.","['English', 'Spanish']",Reduced Cost,TRUE,https://www.facebook.com/preventivemeasuresinc/?eid=ARBlQM%20OZxhxMXUI2vnSbADbX7j4z6a3el4N1lU2swL2NDHFwSpYr5NdCs_kY%20gyt0sVh3U5Q540UbeDaX,,"This program covers residents of the following counties: District Of Columbia County, DC, Rockdale County, GA, Lehigh County, PA, Monroe County, PA, Philadelphia County, PA and Passaic County, NJ.",40.0383603,-75.1440521,19141,FALSE,8:00AM - 6:00PM,8:00AM - 6:00PM,8:00AM - 6:00PM,8:00AM - 6:00PM,8:00AM - 5:00PM,Closed,Closed,0/5,Mental Health
"Crossroads Treatment Center of Philadelphia (ARS Treatment Centers, P.C.)",https://www.auntbertha.com//ars-treatment-centers%252C-p.c.--philadelphia-pa--crossroads-treatment-center-of-philadelphia-%2528west-tabor%2529/4569432633245696?postal=19131,"['addiction & recovery', 'outpatient treatment', 'medications for addiction']",,"['adults 18+', 'individuals', 'substance dependency', 'opioid dependency']",866-698-8864,https://www.crossroadstreatmentcenters.com/center/crossroads-of-philadelphia-pa-west-tabor-road/,"1335 West Tabor Road, Philadelphia, PA 19141","https://www.google.com/maps/?q=1335+West+Tabor+Road,+Philadelphia,+PA+19141/",['This program serves individuals with Substance Use Disorder.'],available,"Crossroads Treatment Center of Philadelphia (West Tabor) offers buprenorphine, sublocade, and brixadi treatment for individuals with Opioid Use Disorder.

This program provides:

- Addiction & Recovery
- Medications for Addiction

This program may be full cost and/or accept some insurances, including Medicare and Medicaid. Please contact Crossroads for more information about cost",['English'],Not specified,TRUE,,,"This program covers residents of the following counties: Philadelphia County, PA.",40.0383603,-75.1440521,19141,FALSE,Closed,2:00PM - 6:00PM,3:00PM - 7:00PM,Closed,Closed,Closed,Closed,0/5,Mental Health
Intensive Outpatient Program (IOP) at Mazzoni Center (Mazzoni Center),https://www.auntbertha.com//mazzoni-center--philadelphia-pa--intensive-outpatient-program-%2528iop%2529-at-mazzoni-center/4921265385242624?postal=19131,"['addiction & recovery', 'substance abuse counseling', 'peer recovery coaching', 'support network', 'peer support', 'support groups']","['peer recovery coaching', 'support groups']","['adults', 'lgbtqia+', 'individuals', 'families', 'spouses', 'substance dependency']",215-563-0652,https://www.mazzonicenter.org/supportive-services/therapy-and-recovery/recovery-services/recovery-services-iopop,"1348 Bainbridge Street, Philadelphia, PA 19147","https://www.google.com/maps/?q=1348+Bainbridge+Street,+Philadelphia,+PA+19147/",['This program helps people who are older than 17 years old.'],available,"Mazzoni Center provides a LGBTQ-focused Intensive Outpatient Program (IOP) for alcohol and substance use. This program provides an affirming, safe and respectful treatment opportunity promoting growth and self-discovery.

This program provides:

- Multi-faceted group therapy    
- Aftercare planning
- Individual therapy    
- Medication-Assisted Treatment
- Psychiatric services    
- Peer-based support     
- Peer Recovery support
- Family therapy    
- Relapse prevention    
- Referrals to other Mazzoni Center supportive services

This program is exclusively for LGBTQ people.

We accept most major insurance plans, as well as Medicaid, and some Medicare plans. it is important to understand that all plans vary in coverage. As part of the intake process, they will determine your coverage and cost for IOP. If you are uninsured, we can help determine if you are eligible for special funding, such as Ryan White, to help cover costs. We offer a sliding scale to those who are uninsured and/or not eligible for other coverage.",['English'],Sliding Scale,TRUE,https://www.facebook.com/MazzoniCenter,https://www.twitter.com/@MazzoniCenter,"This program covers residents of the following counties: Philadelphia County, PA.",39.9426271,-75.1650829,19147,FALSE,8:00AM - 9:00PM,8:00AM - 9:00PM,8:00AM - 9:00PM,8:00AM - 9:00PM,8:00AM - 5:00PM,Closed,Closed,3.4/5,Mental Health
Mental Health Services (Mazzoni Center),https://www.auntbertha.com//mazzoni-center--philadelphia-pa--mental-health-services/5571102987255808?postal=19131,"['addiction & recovery', 'peer recovery coaching', 'understand mental health', 'mental health care', 'medications for mental health', 'mental health evaluation', 'support groups']",,"['adults', 'young adults', 'teens', 'seniors', 'lgbtqia+', 'individuals', 'families', 'spouses', 'all mental health', 'substance dependency']",215-563-0652,https://www.mazzonicenter.org/supportive-services/therapy-and-recovery,"1348 Bainbridge Street, Philadelphia, PA 19147","https://www.google.com/maps/?q=1348+Bainbridge+Street,+Philadelphia,+PA+19147/",['This program serves LGBTQ+ adolescents and adults.'],available,"Mazzoni Center provides quality professional, accessible and culturally affirming psychotherapy and psychiatric services for LGBTQ+ individuals, couples, and families. This program offers an array of outpatient therapeutic services including individual, couples/relationship and family therapy. Out staff has expertise in helping to address  many issues including depression, anxiety, trauma,  exploration of gender identity, sexuality and sexual health, all through the lens of social justice and LGBTQ+ affirmation.This program provides:- Supportive recovery oriented counseling & groups- Psychiatric evaluation- Medication management- Peer recovery support- Referrals to community based servicesThis provider accepts most major insurance plans, as well as Medicaid and Medicare. Sliding scale is available to those who are uninsured and/or not eligible for other coverage.",['English'],Sliding Scale,TRUE,https://www.facebook.com/MazzoniCenter,https://www.twitter.com/@MazzoniCenter,"This program covers residents of the following counties: Philadelphia County, PA.",39.9426271,-75.1650829,19147,FALSE,8:00AM - 9:00PM,8:00AM - 9:00PM,8:00AM - 9:00PM,8:00AM - 9:00PM,8:00AM - 5:00PM,Closed,Closed,0/5,Mental Health
HIV Care (Mazzoni Center),https://www.auntbertha.com//mazzoni-center--philadelphia-pa--hiv-care/5249334304047104?postal=19131,"['prescription assistance', 'primary care', 'counseling', 'hiv treatment', 'support network']","['navigating the system', 'case management']","['all ages', 'hiv/aids', 'individuals', 'benefit recipients', 'low-income', 'uninsured']",215-563-0658,https://www.mazzonicenter.org/health-care/hiv-care,"1348 Bainbridge Street, Philadelphia, PA 19147","https://www.google.com/maps/?q=1348+Bainbridge+Street,+Philadelphia,+PA+19147/",[],available,"The HIV Care program is committed to caring for the whole person: helping patients identify their individual health and wellness needs and access the specific care and resources that will be of greatest benefit.  This program provides:- Routine physicals- Medication management- Prophylactic treatments- Treatment adherence counseling- Direct referrals to other Mazzoni Center supportive services, as neededThe Mazzoni Center accepts Medicaid and Medicare for these services. For non-insured clients they offer low cost co-pays on a sliding-scale, based on annual income and number of dependents.",['English'],Reduced Cost,TRUE,https://www.facebook.com/MazzoniCenter,https://www.twitter.com/@MazzoniCenter,"This program covers residents of the following counties: Philadelphia County, PA.",39.9426271,-75.1650829,19147,FALSE,8:00AM - 7:00PM,9:00AM - 7:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,Closed,Closed,0/5,Mental Health
"Community Integrated Recovery Centers (CIRCs) at Carlisle (Citizens Acting Together Can Help, Inc.)",https://www.auntbertha.com//citizens-acting-together-can-help%252C-inc.-%2528catch%2529--philadelphia-pa--community-integrated-recovery-centers-%2528circs%2529-at-carlisle/5113735971864576?postal=19131,"['outpatient treatment', 'daily life skills', 'counseling', 'medications for mental health', 'mental health evaluation', 'community support services']",,"['anyone in need', 'adults', 'all mental health']",215-389-0903,https://catchinc.com/services/mental-health/circ-programs/,"1400 Reed Street, Philadelphia, PA 19146","https://www.google.com/maps/?q=1400+Reed+Street,+Philadelphia,+PA+19146/","['This program helps people who are 30 to 35 years old.', 'Our members must have a present, or a history of a, serious mental illness which includes the following diagnoses by a psychiatrist: schizophrenia, major mood disorder, psychotic disorder, schizoaffective disorder or borderline personality disorder. The person must also have a moderate to severe fun', 'Members must choose to participate in the program, be stable, absent of any withdrawal symptoms. The person must also be willing to come to the program.']",available,"Using clinical protocols and activities that promote the concepts of personal strengths and resiliency, these programs combine outpatient psychiatric services with community-oriented psychiatric rehabilitation services.

Members work on skills which will help them achieve a variety of goals ranging from psychiatric symptom reduction to independent living and vocational/educational placement. Our dedicated staff uses a blend of best practices, recovery models, and a person-centered approach that builds coping and socialization proficiency. Services are provided on-site and in a community-based setting. We also offer psychiatric resources in the form of psychiatric evaluations, medication consultation, and medication management.

Members –build off of the development and social maturity of its participants in order to help them actively integrate into local community events and activities.",['English'],Reduced Cost,TRUE,https://www.facebook.com/CATCHIncPhilly/?view_public_for=116347695646253,,"This program covers residents of the following counties: Philadelphia County, PA.",39.932861,-75.1689296,19146,FALSE,8:00AM - 5:00PM ,8:00AM - 5:00PM ,8:00AM - 5:00PM ,8:00AM - 5:00PM ,8:00AM - 5:00PM ,Closed,Closed,3.1/5,Mental Health
"Outpatient Program (Citizens Acting Together Can Help, Inc.)",https://www.auntbertha.com//citizens-acting-together-can-help%252C-inc.-%2528catch%2529--philadelphia-pa--outpatient-program/4611405186859008?postal=19131,"['counseling', 'medication management', 'mental health care', 'individual counseling', 'medications for mental health']",,"['adults', 'children', 'families']",215-755-0500,https://catchinc.com/services/mental-health/outpatient/,"1400 Reed Street, Philadelphia, PA 19146","https://www.google.com/maps/?q=1400+Reed+Street,+Philadelphia,+PA+19146/","['This program helps people who are older than 4 years old.', 'Must be a resident of Philadelphia', 'Insurances Accepted: CBH (Community Behavioral Health), DBH (Department of Behavioral Health),  Medicare (We DO NOT accept Medicare Advantage Plans)']",available,"Our Outpatient Mental Health Program addresses the behavioral health needs of children, adolescents, and adults. Our highly trained staff uses an array of modalities, including Behavior Modification, Person-Centered, and Trauma-Focused.

The consumer’s treatment goals are tailored to their individual needs. Services may include psychological testing, comprehensive behavioral health evaluation, individual therapy, medication consultation, and management. We employ three adult psychiatrists, one Board Certified Child psychiatrist, and one full-time licensed psychologist who is also a board-certified school psychologist. Our psychologist also facilitates a voluntary clinical supervision group for individuals who seek specialized licensure.",['English'],Reduced Cost,TRUE,https://www.facebook.com/CATCHIncPhilly/?view_public_for=116347695646253,https://www.twitter.com/@CatchInc,"This program covers residents of the following counties: Philadelphia County, PA.",39.932861,-75.1689296,19146,FALSE,8:30AM - 5:00PM   ,8:30AM - 5:00PM   ,8:30AM - 5:00PM   ,8:30AM - 5:00PM   ,8:30AM - 5:00PM   ,Closed,Closed,3.1/5,Mental Health
"Behavioral Health Rehabilitation Service (Citizens Acting Together Can Help, Inc.)",https://www.auntbertha.com//citizens-acting-together-can-help%252C-inc.-%2528catch%2529--philadelphia-pa--behavioral-health-rehabilitation-service-%2528bhrs%2529/4843286709927936?postal=19131,"['mental health evaluation', 'in-home support', 'mental health care', 'counseling', 'family counseling', 'individual counseling', 'medications for mental health', 'more education']",,"['teens', 'children', 'autism', 'benefit recipients', 'bipolar', 'all mental health']",215-755-0500,https://catchinc.com/,"1400 Reed Street, Philadelphia, PA 19146","https://www.google.com/maps/?q=1400+Reed+Street,+Philadelphia,+PA+19146/","['This program helps people who are 5 to 13 years old.', 'Must have Medicaid or CBH insurance.']",temporarily closed,"Our Behavioral Health Rehabilitation Service provides holistic, child-centered, and family focused services for school-age children and adolescents with complicated and serious behavioral health needs, including Autistic Spectrum Disorder. The BHRS Department is comprised of a highly trained team of professionals who use a variety of therapeutic skills in a community setting to help consumers achieve their goals. In addition, consumers may be offered, as part of their treatment, psychiatric/ psychological evaluations, psychological testing and medication management conducted by our board certified psychologist and, if appropriate, a board certified child psychiatrist.Services Provided:- In Home Therapeutic Support Staff – Provides the bulk of the BHRS Services administered outside of school by working to redirect the child to more appropriate behaviors or responses based on what is called for in the treatment plan- In School Therapeutic Support Staff – Provides the bulk of the BHRS Services administered during school hours by working to redirect the child to more appropriate behaviors or responses based on what is called for in the treatment plan- Mobile Therapist – Provides individual therapy to the child in a non-traditional setting such as the home or some other community setting- Behavioral Specialist Consultant – Responsible for writing the treatment plan and working with the MT and TSS to implement, update and carry out the objectives of the treatment planEligibility: - Program is for patients age 5 to 13- Must be a Philadelphia residentConsumers are referred to us by CBH. We also accept self referrals.","['English', 'Spanish']",Reduced Cost,TRUE,https://www.facebook.com/CATCHIncPhilly/,,"This program covers residents of the following counties: Philadelphia County, PA.",39.9328637,-75.1689253,19146,FALSE,8:30AM - 5:00PM   ,8:30AM - 5:00PM   ,8:30AM - 5:00PM   ,8:30AM - 5:00PM   ,8:30AM - 5:00PM   ,Closed,Closed,3.1/5,Mental Health
Latinx Psychoeducational Groups (Women Organzied Against Rape),https://www.auntbertha.com//women-organized-against-rape-%2528woar%2529--philadelphia-pa--latinx-psychoeducational-groups/5581093415682048?postal=19131,"['health education', 'sex education', 'counseling', 'support groups']",,"['all ages', 'limited english', 'latino', 'trauma survivors', 'sexual assault survivors']",215-606-8490,https://www.woar.org/latinx/,"1617 John F Kennedy Boulevard, Philadelphia, PA 19134","https://www.google.com/maps/?q=1617+John+F+Kennedy+Boulevard,+Philadelphia,+PA+19134/",['This program serves Latinx/Hispanic individuals who have experienced sexual assault.'],available,WOAR provides Latinx Psychoeducational Groups aimed at their Hispanic communities. These groups support individuals affected and impacted by violence by providing a supportive space for them to heal.This program provides: - Psychoeducational support group- Health education,"['English', 'Spanish']",Free,TRUE,https://www.facebook.com/wellness.com,https://www.twitter.com/@wellnessgroup,"This program covers residents of the following counties: Philadelphia County, PA.",39.9540975,-75.1673295,19134,FALSE,9:00AM - 5:00PM   ,9:00AM - 5:00PM   ,9:00AM - 5:00PM   ,9:00AM - 5:00PM   ,9:00AM - 5:00PM   ,Closed,Closed,0/5,Mental Health
Behavioral Health (Puentes De Salud),https://www.auntbertha.com//puentes-de-salud--philadelphia-pa--behavioral-health/6010263223664640?postal=19131,"['mental health care', 'mental health evaluation']",,"['all ages', 'limited english', 'latino', 'all mental health']",215-454-8000,https://www.puentesdesalud.org/services/,"1700 South Street, Philadelphia, PA 19146","https://www.google.com/maps/?q=1700+South+Street,+Philadelphia,+PA+19146/",[],available,"A on-site behavioral health consultant (BHC) performs counseling interventions to improve our patients’ wellness and to address the burden of trauma, depression, anxiety, life stressors, domestic violence, and alcohol abuse experienced by our patients. This program provides:- Counseling interventions","['English', 'Spanish']",Reduced Cost,TRUE,https://www.facebook.com/PuentesDeSalud/,https://www.twitter.com/@PuentesDeSalud,"This program covers residents of the following counties: Philadelphia County, PA.",39.944116,-75.1710457,19146,FALSE,1:00PM - 7:30PM   ,Closed,5:30PM - 7:30PM   ,10:30AM - 3:00PM   ,Closed,Closed,Closed,4.7/5,Mental Health
